Feature 1,Feature 2,Correlation,Abs_Correlation,label_abs_corr_feat1,label_abs_corr_feat2,Feature 1 Missing,Feature 2 Missing,Feature which goes
TransactionID,TransactionDT,0.9982802236528208,0.9982802236528208,0.014165772702318263,0.01310305499304759,0.0,0.0,TransactionID
ProductCD,V15,-0.9480619537765158,0.9480619537765158,0.1565563194648882,0.1779630498131708,0.0,12.881938564703491,V15
ProductCD,V16,-0.9276471798085851,0.9276471798085851,0.1565563194648882,0.17431823036772803,0.0,12.881938564703491,V16
ProductCD,V31,-0.9303194641449035,0.9303194641449035,0.1565563194648882,0.1631664822385625,0.0,12.881938564703491,V31
ProductCD,V32,-0.9078773078179351,0.9078773078179351,0.1565563194648882,0.16019713121106818,0.0,12.881938564703491,V32
ProductCD,V33,-0.9144236139678098,0.9144236139678098,0.1565563194648882,0.18348618906163106,0.0,12.881938564703491,V33
ProductCD,V42,-0.9007176909252751,0.9007176909252751,0.1565563194648882,0.18942828273161452,0.0,28.612625732380533,V42
ProductCD,V50,-0.9739137480446838,0.9739137480446838,0.1565563194648882,0.17995328566602795,0.0,28.612625732380533,V50
ProductCD,V51,-0.9162009890118898,0.9162009890118898,0.1565563194648882,0.22319110216658028,0.0,28.612625732380533,V51
ProductCD,V57,-0.9373378639912128,0.9373378639912128,0.1565563194648882,0.16888690850681953,0.0,13.055169844549056,V57
ProductCD,V58,-0.9057983870405188,0.9057983870405188,0.1565563194648882,0.17306531089992858,0.0,13.055169844549056,V58
ProductCD,V71,-0.9223271868888856,0.9223271868888856,0.1565563194648882,0.15684043831029348,0.0,13.055169844549056,V71
ProductCD,V79,-0.9184900364268197,0.9184900364268197,0.1565563194648882,0.19414094448022906,0.0,15.098723202492634,V79
ProductCD,V92,-0.9413625252454988,0.9413625252454988,0.1565563194648882,0.18051313293680654,0.0,15.098723202492634,V92
ProductCD,V93,-0.9036156120152652,0.9036156120152652,0.1565563194648882,0.18098315664199877,0.0,15.098723202492634,V93
ProductCD,V94,-0.9451355555292354,0.9451355555292354,0.1565563194648882,0.1884070949774233,0.0,15.098723202492634,V94
ProductCD,id_35,0.9224684155030636,0.9224684155030636,0.1565563194648882,0.16423560147873795,0.0,76.12608798726589,id_35
R_emaildomain,V31,-0.9238367837567985,0.9238367837567985,0.12997047833073877,0.1631664822385625,76.75161716395164,12.881938564703491,R_emaildomain
R_emaildomain,V32,-0.9037120333242362,0.9037120333242362,0.12997047833073877,0.16019713121106818,76.75161716395164,12.881938564703491,R_emaildomain
R_emaildomain,V50,-0.9483799449061889,0.9483799449061889,0.12997047833073877,0.17995328566602795,76.75161716395164,28.612625732380533,R_emaildomain
R_emaildomain,V71,-0.9036500013625671,0.9036500013625671,0.12997047833073877,0.15684043831029348,76.75161716395164,13.055169844549056,R_emaildomain
R_emaildomain,V92,-0.9228961559732777,0.9228961559732777,0.12997047833073877,0.18051313293680654,76.75161716395164,15.098723202492634,R_emaildomain
C1,C2,0.9950894592234939,0.9950894592234939,0.03056975965123962,0.037228939531000003,0.0,0.0,C1
C1,C4,0.9678002004097163,0.9678002004097163,0.03056975965123962,0.03038213630507676,0.0,0.0,C1
C1,C6,0.9822377722079176,0.9822377722079176,0.03056975965123962,0.020908983553783348,0.0,0.0,C1
C1,C7,0.9262580068804313,0.9262580068804313,0.03056975965123962,0.028160291640635573,0.0,0.0,C1
C1,C8,0.9677463528943373,0.9677463528943373,0.03056975965123962,0.03213871315829315,0.0,0.0,C1
C1,C10,0.9582021807774743,0.9582021807774743,0.03056975965123962,0.028395987456790915,0.0,0.0,C1
C1,C11,0.9965147332633475,0.9965147332633475,0.03056975965123962,0.027483734598873506,0.0,0.0,C1
C1,C12,0.9279394882293786,0.9279394882293786,0.03056975965123962,0.03190528171122748,0.0,0.0,C1
C1,C14,0.9517609999340592,0.9517609999340592,0.03056975965123962,0.007920558690607982,0.0,0.0,C1
C2,C4,0.9721337740566047,0.9721337740566047,0.037228939531000003,0.03038213630507676,0.0,0.0,C2
C2,C6,0.9748448481316238,0.9748448481316238,0.037228939531000003,0.020908983553783348,0.0,0.0,C2
C2,C7,0.9388670279526119,0.9388670279526119,0.037228939531000003,0.028160291640635573,0.0,0.0,C2
C2,C8,0.9758629919515445,0.9758629919515445,0.037228939531000003,0.03213871315829315,0.0,0.0,C2
C2,C10,0.9706239088171714,0.9706239088171714,0.037228939531000003,0.028395987456790915,0.0,0.0,C2
C2,C11,0.9938978018238349,0.9938978018238349,0.037228939531000003,0.027483734598873506,0.0,0.0,C2
C2,C12,0.9402584325425684,0.9402584325425684,0.037228939531000003,0.03190528171122748,0.0,0.0,C2
C2,C14,0.9361484959177756,0.9361484959177756,0.037228939531000003,0.007920558690607982,0.0,0.0,C2
C4,C6,0.9623192744263843,0.9623192744263843,0.03038213630507676,0.020908983553783348,0.0,0.0,C4
C4,C8,0.9599954810304452,0.9599954810304452,0.03038213630507676,0.03213871315829315,0.0,0.0,C4
C4,C10,0.9524664323346516,0.9524664323346516,0.03038213630507676,0.028395987456790915,0.0,0.0,C4
C4,C11,0.9745466372849689,0.9745466372849689,0.03038213630507676,0.027483734598873506,0.0,0.0,C4
C4,C14,0.9076755778202159,0.9076755778202159,0.03038213630507676,0.007920558690607982,0.0,0.0,C4
C5,C9,0.9257858192208444,0.9257858192208444,0.030753966713253412,0.03170341586419421,0.0,0.0,C5
C6,C8,0.9219717186964059,0.9219717186964059,0.020908983553783348,0.03213871315829315,0.0,0.0,C6
C6,C10,0.9144403059473436,0.9144403059473436,0.020908983553783348,0.028395987456790915,0.0,0.0,C6
C6,C11,0.9911048342777391,0.9911048342777391,0.020908983553783348,0.027483734598873506,0.0,0.0,C6
C6,C14,0.984201070361345,0.984201070361345,0.020908983553783348,0.007920558690607982,0.0,0.0,C6
C7,C8,0.9829833764483118,0.9829833764483118,0.028160291640635573,0.03213871315829315,0.0,0.0,C7
C7,C10,0.9850616676560336,0.9850616676560336,0.028160291640635573,0.028395987456790915,0.0,0.0,C7
C7,C11,0.9152088693563097,0.9152088693563097,0.028160291640635573,0.027483734598873506,0.0,0.0,C7
C7,C12,0.9994888253017926,0.9994888253017926,0.028160291640635573,0.03190528171122748,0.0,0.0,C7
C8,C10,0.9969699489971502,0.9969699489971502,0.03213871315829315,0.028395987456790915,0.0,0.0,C8
C8,C11,0.9627215780026751,0.9627215780026751,0.03213871315829315,0.027483734598873506,0.0,0.0,C8
C8,C12,0.9830271643527599,0.9830271643527599,0.03213871315829315,0.03190528171122748,0.0,0.0,C8
C10,C11,0.9560557324215362,0.9560557324215362,0.028395987456790915,0.027483734598873506,0.0,0.0,C10
C10,C12,0.9838169468512061,0.9838169468512061,0.028395987456790915,0.03190528171122748,0.0,0.0,C10
C11,C12,0.9156926583289533,0.9156926583289533,0.027483734598873506,0.03190528171122748,0.0,0.0,C11
C11,C14,0.9624645830405704,0.9624645830405704,0.027483734598873506,0.007920558690607982,0.0,0.0,C11
D1,D2,0.9813113910394917,0.9813113910394917,0.06719305903570927,0.08358321970827122,0.21488806854743114,47.54919226470688,D2
D4,D6,0.9569657730535419,0.9569657730535419,0.06721630255951244,0.05723557903343919,28.60466691502693,87.60676668811597,D6
D4,D12,0.9999994444502625,0.9999994444502625,0.06721630255951244,0.02886382784651115,28.60466691502693,89.04104717715988,D12
D5,D7,0.9864959630083651,0.9864959630083651,0.06463762954147881,0.12719850708196545,52.4674027161581,93.40992989467267,D7
D6,D12,0.976833947412869,0.976833947412869,0.05723557903343919,0.02886382784651115,87.60676668811597,89.04104717715988,D12
M1,M2,0.9248733455110707,0.9248733455110707,0.08941809957741374,0.07481928969656237,45.90713584177194,45.90713584177194,M1
M2,M3,0.9406890917248945,0.9406890917248945,0.07481928969656237,0.07042301073566046,45.90713584177194,45.90713584177194,M2
M7,M8,0.9489475183931294,0.9489475183931294,0.06865954014067031,0.061832250150350765,58.63531682866528,58.633115453652586,M7
